no,title,year,note
26,Modern olimpiyatlar,1896,Spor tarihi
27,Nobel ödülleri,1901,Bilim ve kültür
28,DNA yapısı,1953,Biyoloji tarihi
29,İnsan Genom Projesi,2003,Bilim tarihi
30,Hubble teleskobu,1990,Uzay gözlemi
31,James Webb teleskobu,2021,Uzay gözlemi
32,İlk yapay uydu,1957,Uzay tarihi
33,İlk insanlı uzay uçuşu,1961,Uzay tarihi
34,Ay görevi,1969,Uzay tarihi
35,İlk kadın uzayda,1963,Uzay tarihi
36,TRT kuruluşu,1964,Medya tarihi
37,Renkli televizyon,1980,Yayıncılık
38,Boğaziçi Köprüsü,1973,Ulaşım
39,FSM Köprüsü,1988,Ulaşım
40,Marmaray,2013,Ulaşım
41,Avrasya Tüneli,2016,Ulaşım
42,İstanbul Havalimanı,2018,Ulaşım
43,Devrim otomobili,1961,Otomotiv
44,TOGG tanıtımı,2019,Otomotiv
45,Elektrikli otomobiller,2010,Otomotiv
46,Akıllı saatler,2015,Giyilebilir teknoloji
47,Bulut bilişim,2006,Web teknolojisi
48,Bluetooth gelişimi,1998,Kablosuz bağlantı
49,USB standardı,1996,Bilgisayar bağlantısı
50,SMS kullanımı,1992,Mobil iletişim
